sha256_hash,img_path,is_radical,radical_prob,reason
475a60e0bd9b497d4482adef0647c31edea8a58a8a3e4c8ae6148c07fcf920b1,/home/xiang_fang1/Desktop/meme/icwsm2021-memes-images/output/images/475a60e0bd9b497d4482adef0647c31edea8a58a8a3e4c8ae6148c07fcf920b1.gz,error,0.0,Failed to load image
78309b02a4e0ad28e78feaffc047357b72980ccaf4cd8bbc0f128f27942564dc,/home/xiang_fang1/Desktop/meme/icwsm2021-memes-images/output/images/78309b02a4e0ad28e78feaffc047357b72980ccaf4cd8bbc0f128f27942564dc.gz,error,0.0,Failed to load image
bc4f59bf7f6587fa1fef4009b37e1d83e0acaebea1e3931a7958cceb7102f6ee,/home/xiang_fang1/Desktop/meme/icwsm2021-memes-images/output/images/bc4f59bf7f6587fa1fef4009b37e1d83e0acaebea1e3931a7958cceb7102f6ee.gz,error,0.0,Failed to load image
ffce711a11d1338ad4df4a24b0f9dbc30bc76d90cbc44d5ff1e3b446f0db5eef,/home/xiang_fang1/Desktop/meme/icwsm2021-memes-images/output/images/ffce711a11d1338ad4df4a24b0f9dbc30bc76d90cbc44d5ff1e3b446f0db5eef.gz,error,0.0,Failed to load image
425494b9975aae4550206d6dc6e2db442bc9f1f8b1765af96afcd416402ef6a9,/home/xiang_fang1/Desktop/meme/icwsm2021-memes-images/output/images/425494b9975aae4550206d6dc6e2db442bc9f1f8b1765af96afcd416402ef6a9.gz,non-radical,0.0,"The image contains a humorous text that plays on the concept of meme ownership. It does not contain any extremist ideologies, violent rhetoric, or radical ideas about society and governance. The image is purely for comedic effect and does not promote any form of radicalism."
ebf90d1c8ae6581d22c3a29f33187cf379962810c4d8bcfbee763cc96b655593,/home/xiang_fang1/Desktop/meme/icwsm2021-memes-images/output/images/ebf90d1c8ae6581d22c3a29f33187cf379962810c4d8bcfbee763cc96b655593.gz,error,0.0,Failed to load image
31270b00ed92502ede2efc562b5cf7dadf09d21ccff4ffa5e765fe8e55a6634b,/home/xiang_fang1/Desktop/meme/icwsm2021-memes-images/output/images/31270b00ed92502ede2efc562b5cf7dadf09d21ccff4ffa5e765fe8e55a6634b.gz,error,0.0,Failed to load image
e93e2fc942bee1eea718b612981d0a30095982b663a5033574c34b63bf80b6d6,/home/xiang_fang1/Desktop/meme/icwsm2021-memes-images/output/images/e93e2fc942bee1eea718b612981d0a30095982b663a5033574c34b63bf80b6d6.gz,radical,0.95,The image contains text that glorifies violence and promotes racist and genocidal ideologies. It refers to 'white races' as descendants of 'ruthless and cunning killers' and warns against provoking them due to their alleged history of extreme violence. This content is extremist and advocates for a radical view of societal governance based on racial superiority and fear.
4f55749a47b45299e31c431674943b4e84c7f7350a5af6a9bebf89d32ae1bdda,/home/xiang_fang1/Desktop/meme/icwsm2021-memes-images/output/images/4f55749a47b45299e31c431674943b4e84c7f7350a5af6a9bebf89d32ae1bdda.gz,error,0.0,Failed to load image
da1d15fbe6abc965b8a1ae6efcba0bbec4a772072cfe0602271f3698aeab9981,/home/xiang_fang1/Desktop/meme/icwsm2021-memes-images/output/images/da1d15fbe6abc965b8a1ae6efcba0bbec4a772072cfe0602271f3698aeab9981.gz,radical,0.95,"The text in the image discusses the involvement of Jewish merchants in the slave trade, which is a highly sensitive and controversial topic. The image appears to be part of an attempt to stigmatize or blame a specific ethnic group for historical injustices, which is a form of radical and extremist content. The historical context and the way it is presented can be used to fuel anti-Semitic sentiments and radicalize views."
11825d153ee1bdea1f59298ae18e0f57675a4f63e980c518cf4a737e7c7fd69e,/home/xiang_fang1/Desktop/meme/icwsm2021-memes-images/output/images/11825d153ee1bdea1f59298ae18e0f57675a4f63e980c518cf4a737e7c7fd69e.gz,error,0.0,Failed to load image
5a5b71d7840e81e14714c2714a79b40f218403eaec2015b83eb42f2d61959dc1,/home/xiang_fang1/Desktop/meme/icwsm2021-memes-images/output/images/5a5b71d7840e81e14714c2714a79b40f218403eaec2015b83eb42f2d61959dc1.gz,error,0.0,Failed to load image
0e3d98fa21c014bf7c376ade16b61dd9396a185a0d43eab82cd04bbf9a67898a,/home/xiang_fang1/Desktop/meme/icwsm2021-memes-images/output/images/0e3d98fa21c014bf7c376ade16b61dd9396a185a0d43eab82cd04bbf9a67898a.gz,error,0.0,Failed to load image
be02ac340aac4269fd3412ec383e51e2f40bce232d3a1d6a05a5253ab22b743c,/home/xiang_fang1/Desktop/meme/icwsm2021-memes-images/output/images/be02ac340aac4269fd3412ec383e51e2f40bce232d3a1d6a05a5253ab22b743c.gz,non-radical,0.1,"The image shows a person wearing a hat and smiling, with posters of two individuals in the background. There are no explicit radical symbols, texts, or themes present in the image. The content appears to be benign and does not promote extremist views or violent means."
04c150a0ba08d987ab81de3b85953c8340c9570197995f820ff512be0af7a343,/home/xiang_fang1/Desktop/meme/icwsm2021-memes-images/output/images/04c150a0ba08d987ab81de3b85953c8340c9570197995f820ff512be0af7a343.gz,non-radical,0.1,"The image is a parody or satirical depiction of a book cover titled 'Learnabout Garages 'It's Totally Fucking Fucked Mate, Big Time'. The content appears to be humorous and exaggerated, aiming to mock or parody a specific style of book titles and cover designs. There is no indication of radical ideologies, extremist views, or promotion of violence."
935db9a9921b83ce8d33f1a0f99e80532148e7b6fdf1572d775b167aa1a5057a,/home/xiang_fang1/Desktop/meme/icwsm2021-memes-images/output/images/935db9a9921b83ce8d33f1a0f99e80532148e7b6fdf1572d775b167aa1a5057a.gz,error,0.0,Failed to load image
